number,duration_sec
1,14.057020833333333
2,15.0000625
3,15.000020833333334
4,15.1876875
5,15.8000625
6,13.714458333333333
7,15.0440625
9,14.026729166666666
10,15.74275
11,14.994083333333334
12,13.794145833333333
13,16.670875
14,14.675229166666666
15,14.061395833333334
16,11.141604166666667
17,16.911020833333332
18,15.6248125
19,14.932479166666667
21,15.904166666666667
22,14.672708333333333
23,14.638229166666667
25,15.1859375
26,15.0704375
27,24.9333125
28,15.82325
29,21.826520833333333
30,16.14625
31,16.393583333333332
32,15.253770833333334
33,16.544229166666668
34,12.943145833333332
36,14.979333333333333
37,12.772020833333332
38,12.865229166666667
39,15.531729166666667
40,16.580416666666668
41,17.073208333333334
42,16.015833333333333
43,15.2964375
44,12.791833333333333
45,15.03525
46,16.05570833333333
47,15.6599375
48,14.116479166666666
49,14.944541666666666
50,15.007520833333333
51,15.001645833333333
52,14.917875
53,15.626979166666667
54,16.673375
55,14.811645833333333
57,15.064916666666667
60,13.82125
61,15.968229166666667
62,15.0099375
63,15.739791666666667
64,14.963208333333334
65,15.694833333333333
66,15.435083333333333
67,14.932479166666667
68,15.000020833333334
69,15.827729166666666
70,15.6360625
71,15.158145833333334
73,15.6939375
74,15.070166666666667
75,14.575625
76,11.073395833333333
77,15.2006875
78,15.04025
79,15.009375
80,14.890645833333334
81,14.80575
82,14.334
83,11.3
84,15.007041666666666
85,14.93025
86,15.011666666666667
87,15.000020833333334
88,15.110791666666668
89,15.445208333333333
90,15.18725
91,15.000020833333334
92,13.90125
93,13.1490625
94,15.129791666666666
95,15.988229166666667
96,15.046875
97,15.000979166666667
98,15.019729166666666
99,15.126291666666667
100,16.024895833333332
101,14.944541666666666
102,16.0051875
103,15.2076875
104,15.292895833333333
105,15.286770833333334
106,15.003979166666667
107,15.770291666666667
108,15.935458333333333
109,14.993541666666667
110,16.000020833333334
